job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
1.0,AI Engineer,Startup,Retail,Canada,Remote,Senior,2.0,Master,0.0,0.0,0.0,1.0,0.0,158322.0,6.0,2024.0,Low,4.0
2.0,Machine Learning Engineer,MNC,Technology,Australia,Hybrid,Mid,0.0,Bachelor,1.0,1.0,1.0,0.0,1.0,,11.0,2026.0,High,9.0
3.0,Machine Learning Engineer,MNC,Technology,Germany,Onsite,Mid,14.0,Master,1.0,0.0,1.0,0.0,1.0,158556.0,3.0,2026.0,High,9.0
4.0,Business Analyst,Startup,Healthcare,Germany,Remote,Mid,9.0,Master,0.0,1.0,0.0,1.0,1.0,95775.0,3.0,2025.0,High,7.0
5.0,Data Scientist,MNC,Healthcare,Germany,Hybrid,Mid,5.0,Master,1.0,1.0,1.0,0.0,0.0,111873.0,12.0,2021.0,Low,2.0
6.0,Machine Learning Engineer,Medium,Technology,Australia,Onsite,Senior,6.0,Master,1.0,0.0,1.0,1.0,0.0,165878.0,5.0,2021.0,High,2.0
7.0,Data Scientist,MNC,Technology,Germany,Remote,Entry,14.0,Bachelor,0.0,0.0,0.0,0.0,0.0,67027.0,8.0,2026.0,High,8.0
8.0,Data Analyst,Enterprise,Finance,UK,Onsite,Entry,4.0,PhD,1.0,0.0,1.0,0.0,1.0,78392.0,8.0,2023.0,High,7.0
9.0,Machine Learning Engineer,Startup,Education,Canada,Onsite,Mid,2.0,PhD,0.0,0.0,0.0,0.0,1.0,123840.0,5.0,2021.0,Low,3.0
10.0,Data Engineer,Enterprise,Retail,USA,Onsite,Senior,9.0,Master,1.0,0.0,0.0,0.0,1.0,112408.0,4.0,2024.0,High,7.0
11.0,AI Engineer,Medium,E-commerce,Singapore,Onsite,Entry,10.0,PhD,0.0,1.0,0.0,1.0,0.0,103157.0,12.0,2021.0,Medium,3.0
